Altium Designer Pick and Place Locations
D:\aguat\Documents\GitHub\AWG-RP2040\PCB\PCB_Fuente\Fuente.V01.R00\Project Outputs for Fuente.V01.R00\Pick Place\Pick Place for PCB-Fuente.V01.R00.txt

========================================================================================================================
File Design Information:

Date:       08/03/26
Time:       11:13
Revision:   da149efa880accdfb91a51f2a2562634f22ab6bc
Variant:    No variations
Units used: mm

Designator Comment             Layer       Footprint                   Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                                                                                                                   
D6         MBRS360T3G          BottomLayer ONSC-SMC-2-403-03_V         40.0000      39.7500      180      "Schottky Power Rectifier, 2-Pin SMC, Pb-Free, Tape and Reel"                                                                                                                                                                                                 
U1         TPS7A4533DCQT       BottomLayer DCQ0006A_M                  30.9000      42.6500      90       "Single Output Fast Transient Response LDO, 1.5 A, Fixed 3.3 V Output, 2.1 to 20 V Input, 6-pin SOT-223 (DCQ), -40 to 125 degC, Green (RoHS & no Sb/Br)"                                                                                                      
R26        "1K2 5%"            TopLayer    RESC0805(2012)_M            48.5000      35.5000      0        "124K 0.125W 1% 0805 (2012 Metric)  SMD"                                                                                                                                                                                                                      
R25        "1K2 5%"            TopLayer    RESC0805(2012)_M            48.5000      32.2500      0        "124K 0.125W 1% 0805 (2012 Metric)  SMD"                                                                                                                                                                                                                      
R24        "2K2 5%"            TopLayer    RESC0805(2012)_M            48.5000      22.5000      0        "124K 0.125W 1% 0805 (2012 Metric)  SMD"                                                                                                                                                                                                                      
R23        "1K2 5%"            TopLayer    RESC0805(2012)_M            48.5000      29.0000      0        "124K 0.125W 1% 0805 (2012 Metric)  SMD"                                                                                                                                                                                                                      
R22        "1K2 5%"            TopLayer    RESC0805(2012)_M            48.5000      25.7500      0        "124K 0.125W 1% 0805 (2012 Metric)  SMD"                                                                                                                                                                                                                      
J2         "INPUT 24V"         TopLayer    691111710002                51.5000      47.2500      90       "111 Series 5MM Pitch Straight, Pcb Terminal Block, Through Hole, 2 Way"                                                                                                                                                                                      
F2         2920L110/60MR       BottomLayer FP-2920L-MFG                53.0000      37.5000      270      "PTC RESET FUSE 60V 1.1A 2920"                                                                                                                                                                                                                                
F1         0468001.NR          BottomLayer FP-0468-MFG                 48.0000      35.5000      270      "FUSE BOARD MNT 1A 63VAC/VDC 1206"                                                                                                                                                                                                                            
D13        "PWR +15V"          TopLayer    FP-SML-LX0805UWC-TR-MFG     53.0000      35.5000      0        "SML-LX0805UWC-TR White LED, 0805 Diffused, Rectangle Lens SMD package"                                                                                                                                                                                       
D12        "PWR +15V"          TopLayer    FP-SML-LX0805UWC-TR-MFG     53.0000      32.2500      180      "SML-LX0805UWC-TR White LED, 0805 Diffused, Rectangle Lens SMD package"                                                                                                                                                                                       
D11        "PWR +15V"          TopLayer    FP-SML-LX0805UWC-TR-MFG     53.0000      22.5000      180      "SML-LX0805UWC-TR White LED, 0805 Diffused, Rectangle Lens SMD package"                                                                                                                                                                                       
D10        "PWR +15V"          TopLayer    FP-SML-LX0805UWC-TR-MFG     53.0000      29.0000      0        "SML-LX0805UWC-TR White LED, 0805 Diffused, Rectangle Lens SMD package"                                                                                                                                                                                       
